output_protocol,component,model,cutoff_percent,n,exact_match,token_f1,sentencebert
oa_om,action,gpt4o,all,1590,0.5679245283018868,0.804626111135545,0.8342512400598271
oa_om,action,gpt4o,25,265,0.41132075471698115,0.6705927405927405,0.7033777508252071
oa_om,action,gpt4o,40,265,0.4981132075471698,0.7476986954345445,0.7813933789167764
oa_om,action,gpt4o,55,265,0.5886792452830188,0.8257172387361067,0.8509987544900967
oa_om,action,gpt4o,70,265,0.6075471698113207,0.8356571730156636,0.865220050485629
oa_om,action,gpt4o,85,265,0.6452830188679245,0.8635885498149649,0.8905010300987172
oa_om,action,gpt4o,95,265,0.6566037735849056,0.8845022692192503,0.9140164755425363
oa_om,action,luna,all,1590,0.4962264150943396,0.8094715312639841,0.8461372930907978
oa_om,action,luna,25,265,0.36981132075471695,0.6913595000387454,0.7686477251491457
oa_om,action,luna,40,265,0.4377358490566038,0.7607907396586642,0.8044719603826415
oa_om,action,luna,55,265,0.539622641509434,0.8391653419955307,0.8694473077666085
oa_om,action,luna,70,265,0.5207547169811321,0.8339614264142566,0.8676367709096873
oa_om,action,luna,85,265,0.5509433962264151,0.8585595327104761,0.8803991810330805
oa_om,action,luna,95,265,0.5584905660377358,0.8729926467662317,0.8862208133036236
oa_om,mission,tuned_qwen,all,1590,0.4106918238993711,0.8011082695875908,0.8438822559028302
oa_om,mission,tuned_qwen,25,265,0.4226415094339623,0.8054891025791779,0.8429114031341841
oa_om,mission,tuned_qwen,40,265,0.4037735849056604,0.7980761524499477,0.8405223991511003
oa_om,mission,tuned_qwen,55,265,0.4188679245283019,0.8004070015308989,0.8451648422007291
oa_om,mission,tuned_qwen,70,265,0.4075471698113208,0.8036660174077663,0.845831617319359
oa_om,mission,tuned_qwen,85,265,0.41509433962264153,0.8016986932040381,0.8438482019136537
oa_om,mission,tuned_qwen,95,265,0.39622641509433965,0.7973126503537158,0.8450150716979549
oa_om,mission,qwen_base,all,1590,0.23836477987421384,0.7840624260435581,0.8143584256652017
oa_om,mission,qwen_base,25,265,0.2,0.7642837456045003,0.7950865858006028
oa_om,mission,qwen_base,40,265,0.21132075471698114,0.7722326101571384,0.8071583905310001
oa_om,mission,qwen_base,55,265,0.2339622641509434,0.7855688546254583,0.817593743385009
oa_om,mission,qwen_base,70,265,0.24150943396226415,0.7905586028227537,0.817152576570241
oa_om,mission,qwen_base,85,265,0.25660377358490566,0.7935320025886063,0.8240138603268929
oa_om,mission,qwen_base,95,265,0.28679245283018867,0.7981987404628914,0.825145397377464
oa_om,mission,gpt4o,all,1590,0.18238993710691823,0.6718938399127078,0.7087226257501346
oa_om,mission,gpt4o,25,265,0.13962264150943396,0.6124618986883138,0.6380999730864786
oa_om,mission,gpt4o,40,265,0.15849056603773584,0.6432636755278265,0.6640871998133524
oa_om,mission,gpt4o,55,265,0.19245283018867926,0.6868587596889484,0.7235963883827318
oa_om,mission,gpt4o,70,265,0.19245283018867926,0.6769291924008904,0.7183685490264082
oa_om,mission,gpt4o,85,265,0.21509433962264152,0.6958954253293875,0.7421039597184028
oa_om,mission,gpt4o,95,265,0.19622641509433963,0.7159540878408803,0.7660796844734336
oa_om,mission,luna,all,1590,0.1641509433962264,0.7458257518163178,0.77858135935458
oa_om,mission,luna,25,265,0.10943396226415095,0.698189389227125,0.7345843211659845
oa_om,mission,luna,40,265,0.15471698113207547,0.7175421643346171,0.7535875337866117
oa_om,mission,luna,55,265,0.16981132075471697,0.7628255601840507,0.7913707728093525
oa_om,mission,luna,70,265,0.18867924528301888,0.7578466606768494,0.7928613887080607
oa_om,mission,luna,85,265,0.1811320754716981,0.7589539181992012,0.7909592476655852
oa_om,mission,luna,95,265,0.1811320754716981,0.7795968182760635,0.8081248919918852
om_only,output,tuned_qwen,all,1590,0.4075471698113208,0.8390587973371723,0.8868779057226841
om_only,output,tuned_qwen,25,265,0.3886792452830189,0.8294856974000031,0.878188313290758
om_only,output,tuned_qwen,40,265,0.4037735849056604,0.8346995293514797,0.8847004405732425
om_only,output,tuned_qwen,55,265,0.4226415094339623,0.8401574480470292,0.8890951321934754
om_only,output,tuned_qwen,70,265,0.4188679245283019,0.844395214334679,0.8919715648552157
om_only,output,tuned_qwen,85,265,0.4037735849056604,0.8434201387554641,0.890505746737966
om_only,output,tuned_qwen,95,265,0.4075471698113208,0.8421947561343782,0.886806236685447
om_only,output,qwen_base,all,1590,0.2849056603773585,0.8132694848621597,0.853367454694502
om_only,output,qwen_base,25,265,0.23018867924528302,0.798710208958179,0.836174081518965
om_only,output,qwen_base,40,265,0.2981132075471698,0.8215957709949766,0.8557324767112732
om_only,output,qwen_base,55,265,0.2943396226415094,0.8170654131843453,0.8576613988516466
om_only,output,qwen_base,70,265,0.2981132075471698,0.811307172781266,0.8548617917411733
om_only,output,qwen_base,85,265,0.2981132075471698,0.8170738519225581,0.859103789419498
om_only,output,qwen_base,95,265,0.29056603773584905,0.8138644913316331,0.856671189924456
om_only,output,gpt4o,all,1590,0.1660377358490566,0.7505721322540354,0.7961852578434554
om_only,output,gpt4o,25,265,0.12830188679245283,0.7450355460040605,0.7666131337858596
om_only,output,gpt4o,40,265,0.16226415094339622,0.7364545184744963,0.772007609875697
om_only,output,gpt4o,55,265,0.15849056603773584,0.7475259615215221,0.8006248251447138
om_only,output,gpt4o,70,265,0.16981132075471697,0.7503806484550103,0.8084824797117485
om_only,output,gpt4o,85,265,0.19245283018867926,0.7602473713239529,0.8123462860314351
om_only,output,gpt4o,95,265,0.18490566037735848,0.7637887477451705,0.8170372125112786
om_only,output,luna,all,1590,0.1471698113207547,0.7784586871817143,0.8348056035221748
om_only,output,luna,25,265,0.10566037735849057,0.7686969604637108,0.8255389433986736
om_only,output,luna,40,265,0.1509433962264151,0.7945208285233988,0.8320590842444942
om_only,output,luna,55,265,0.1471698113207547,0.781506239702104,0.838651378537124
om_only,output,luna,70,265,0.1660377358490566,0.7796103596022984,0.8399333921243559
om_only,output,luna,85,265,0.1509433962264151,0.7751236746391253,0.8367823173414987
om_only,output,luna,95,265,0.16226415094339622,0.7712940601596481,0.8358685054869022
om_only,mission,tuned_qwen,all,1590,0.4075471698113208,0.7914570769170095,0.8530559473067709
om_only,mission,tuned_qwen,25,265,0.3886792452830189,0.7792012581404485,0.8423696097337975
om_only,mission,tuned_qwen,40,265,0.4037735849056604,0.7857852422470556,0.8512808827859051
om_only,mission,tuned_qwen,55,265,0.4226415094339623,0.7923439043809241,0.8549527123289288
om_only,mission,tuned_qwen,70,265,0.4188679245283019,0.7984500107638142,0.8596391468677881
om_only,mission,tuned_qwen,85,265,0.4037735849056604,0.7974277077168601,0.8561347797231854
om_only,mission,tuned_qwen,95,265,0.4075471698113208,0.7955343382529549,0.8539585524010208
om_only,mission,qwen_base,all,1590,0.2849056603773585,0.7485796558438068,0.8025674482374071
om_only,mission,qwen_base,25,265,0.23018867924528302,0.7288871296418467,0.7793950637556472
om_only,mission,qwen_base,40,265,0.2981132075471698,0.7599531914626254,0.805883080385766
om_only,mission,qwen_base,55,265,0.2943396226415094,0.7540275866690961,0.8093580588417233
om_only,mission,qwen_base,70,265,0.2981132075471698,0.7455486442278895,0.803443703280305
om_only,mission,qwen_base,85,265,0.2981132075471698,0.7535525480808499,0.8105898349352603
om_only,mission,qwen_base,95,265,0.29056603773584905,0.7495088349805331,0.8067349482257411
om_only,mission,gpt4o,all,1590,0.1660377358490566,0.6580228122680952,0.7286308410876202
om_only,mission,gpt4o,25,265,0.12830188679245283,0.6508671203010825,0.6994480998167452
om_only,mission,gpt4o,40,265,0.16226415094339622,0.6377516194497327,0.7046484432411644
om_only,mission,gpt4o,55,265,0.15849056603773584,0.6533851264039943,0.7317066583430992
om_only,mission,gpt4o,70,265,0.16981132075471697,0.6572931889913022,0.7391566769132074
om_only,mission,gpt4o,85,265,0.19245283018867926,0.6716175438816948,0.7453245535774051
om_only,mission,gpt4o,95,265,0.18490566037735848,0.6772222745807651,0.7515006146341
om_only,mission,luna,all,1590,0.1471698113207547,0.7072493724879962,0.7833894259149923
om_only,mission,luna,25,265,0.10566037735849057,0.6957624968446278,0.7730810013582121
om_only,mission,luna,40,265,0.1509433962264151,0.7284901262259753,0.7812069252976831
om_only,mission,luna,55,265,0.1471698113207547,0.711453448512272,0.7886712548867711
om_only,mission,luna,70,265,0.1660377358490566,0.7079143276257593,0.7880585968494416
om_only,mission,luna,85,265,0.1509433962264151,0.7022188386283835,0.7843623168063614
om_only,mission,luna,95,265,0.16226415094339622,0.6976569970909593,0.7849564602914846
oa_future,output,tuned_qwen,all,1590,0.40125786163522015,0.8825396052071575,0.9208425185965292
oa_future,output,tuned_qwen,25,265,0.3584905660377358,0.8755665726360644,0.9129589854546313
oa_future,output,tuned_qwen,40,265,0.38113207547169814,0.8771684808467544,0.9176950085837886
oa_future,output,tuned_qwen,55,265,0.41509433962264153,0.8838166643533035,0.9229242259601377
oa_future,output,tuned_qwen,70,265,0.41132075471698115,0.8836347003177379,0.9221362761731418
oa_future,output,tuned_qwen,85,265,0.41509433962264153,0.8852208951739305,0.9221461447904695
oa_future,output,tuned_qwen,95,265,0.42641509433962266,0.8898303179151535,0.9271944706170064
oa_future,output,qwen_base,all,1590,0.12452830188679245,0.7374211933352803,0.8689971836482954
oa_future,output,qwen_base,25,265,0.07924528301886792,0.7245556150351158,0.8508621805119064
oa_future,output,qwen_base,40,265,0.07924528301886792,0.7301533457299207,0.8624340905333465
oa_future,output,qwen_base,55,265,0.10943396226415095,0.734103349218588,0.8706192679000351
oa_future,output,qwen_base,70,265,0.1471698113207547,0.7446409201402189,0.8750412252714049
oa_future,output,qwen_base,85,265,0.16226415094339622,0.7439452332344572,0.8786189418918682
oa_future,output,qwen_base,95,265,0.16981132075471697,0.7471286966533814,0.8764073957812112
oa_future,output,gpt4o,all,1590,0.11761006289308176,0.7637213460992339,0.8603718800927108
oa_future,output,gpt4o,25,265,0.06037735849056604,0.69220801347868,0.8053570612421576
oa_future,output,gpt4o,40,265,0.09433962264150944,0.7363336910942281,0.8412451649611851
oa_future,output,gpt4o,55,265,0.1169811320754717,0.771381649627043,0.8673593897864503
oa_future,output,gpt4o,70,265,0.1509433962264151,0.7946243429897143,0.8811538337536577
oa_future,output,gpt4o,85,265,0.1471698113207547,0.7910531722644457,0.8814744062018844
oa_future,output,gpt4o,95,265,0.13584905660377358,0.7967272071412922,0.8856414246109297
oa_future,output,luna,all,1590,0.06981132075471698,0.6989834329478845,0.8126790629617823
oa_future,output,luna,25,265,0.03018867924528302,0.6206777756261755,0.7579316103233481
oa_future,output,luna,40,265,0.03773584905660377,0.6519519830653291,0.7799420820092255
oa_future,output,luna,55,265,0.06037735849056604,0.6936591664423459,0.8108133470112423
oa_future,output,luna,70,265,0.08679245283018867,0.7246723282291688,0.8331921114111847
oa_future,output,luna,85,265,0.1018867924528302,0.7418768764693574,0.8405556760868936
